@relation 7yesSC_con_tra_sz2_it2

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data
7,0,1,14,19,2,25,1,0,11,57,11,11,52,3,0,1,8,5,5,31,4,0,7,53,10,4,2,1,13,13,1,23,1,0,9,59,10,16,51,4,0,1,9,5,5,30,3,0,9,52,11,P
17,4,2,15,31,3,8,2,1,12,32,7,12,23,19,0,0,5,7,2,17,4,1,6,11,65,12,5,2,13,27,2,10,1,0,13,25,8,13,26,17,0,0,7,8,7,21,3,1,5,11,68,P
12,3,1,47,49,4,23,5,3,54,81,26,31,63,13,2,3,17,20,13,40,22,5,14,48,52,14,3,1,47,50,4,23,5,4,52,84,26,29,65,14,2,2,14,18,13,41,21,4,14,48,49,P
10,0,2,26,22,4,38,6,7,22,51,13,16,80,0,0,0,5,2,7,31,7,3,14,36,5,8,0,2,30,29,5,30,7,3,23,55,13,14,83,0,0,5,6,7,6,31,4,1,15,33,5,P
18,2,2,16,29,4,27,10,1,14,47,14,13,76,22,0,1,11,3,4,34,3,2,7,38,70,13,3,2,27,29,3,30,10,0,17,39,14,13,77,21,0,1,10,1,4,30,4,1,6,36,70,P
7,2,0,18,26,1,20,3,10,41,69,8,24,53,5,1,4,7,13,2,40,9,2,7,14,44,12,2,3,34,32,4,27,1,5,25,52,8,13,56,8,0,2,12,14,1,46,4,5,7,17,51,P
20,5,5,23,69,3,11,4,2,24,33,6,26,9,20,0,0,3,4,4,20,8,0,3,3,116,15,2,2,20,63,1,15,0,3,22,25,2,23,5,14,0,0,2,7,6,19,11,1,2,3,118,P
17,4,0,22,24,6,36,1,0,20,87,16,18,106,8,0,3,17,6,1,72,1,0,8,60,7,17,4,0,22,24,6,36,1,0,20,87,16,18,106,8,0,3,17,6,1,72,1,0,8,60,7,P
3,1,0,2,6,0,3,0,0,7,7,4,6,4,1,0,0,0,0,7,7,4,0,0,1,33,12,1,1,18,16,0,15,4,6,36,65,14,19,68,3,0,1,21,8,16,78,6,2,19,48,2,P
14,1,4,20,25,2,15,5,2,14,30,10,7,34,13,0,1,3,3,3,23,3,0,4,32,17,10,2,2,9,19,5,19,4,0,10,34,8,7,19,9,0,5,5,5,9,25,4,1,2,28,17,P
10,1,0,41,36,2,24,6,11,83,68,14,49,29,6,1,4,35,25,28,63,7,6,5,40,83,12,2,0,42,39,2,27,4,11,71,61,14,48,23,6,1,8,36,27,31,70,9,8,5,36,79,P
13,2,0,19,32,4,20,5,4,25,42,15,11,40,4,0,2,12,5,13,53,11,3,10,25,27,13,3,0,19,34,4,18,5,3,26,44,17,9,38,5,0,3,10,5,10,53,12,3,8,25,27,P
